label	timestamp
1	31250
0	2500
0	2500
0	2250
0	2250
0	2250
0	2250
0	2000
0	2000
-1	500
1	65000
0	2250
0	2250
0	2000
0	2250
0	2000
0	2250
0	2250
0	2500
0	2500
0	3250
-1	500
1	103500
0	2500
0	2500
0	2250
0	2250
0	2000
0	2000
0	2250
0	2250
0	2250
0	2250
-1	500
1	144500
0	2000
0	2000
0	2250
0	2250
0	2000
0	2250
0	2000
0	2000
0	2500
0	2000
-1	500
1	183750
0	2000
0	2250
0	2000
0	2250
0	2250
0	2500
0	1750
0	2500
0	2250
0	2500
-1	500
1	222500
0	2250
0	2250
0	2500
0	2250
0	2500
0	2750
0	2750
0	2250
0	2000
0	2250
-1	500
1	260500
0	2500
0	2500
0	2500
0	2250
0	2000
0	2000
0	2000
0	2000
0	2250
0	1750
-1	500
1	346750
0	2750
0	2500
0	2500
0	2250
0	2250
0	2250
0	2500
0	2250
0	2250
0	2500
-1	500
1	395500
0	2250
0	2000
0	2500
0	2250
0	2250
0	2750
0	2000
0	2500
0	2000
0	2500
-1	500
1	435500
0	2500
0	2500
0	2250
0	2000
0	2250
0	2250
0	2500
0	2250
0	2250
0	3000
-1	500
1	486500
0	2500
0	2500
0	2250
0	2250
0	2250
0	2250
0	2500
0	2500
0	2750
0	2250
-1	500
