label	timestamp
1	4500
0	1500
0	1500
0	1750
0	1750
0	1750
0	2000
0	1750
0	1750
0	1750
0	2000
-1	500
1	38000
0	1750
0	1750
0	1750
0	1750
0	2250
0	1750
0	1750
0	1750
0	1750
0	2000
-1	500
1	69500
0	1750
0	1750
0	1750
0	1750
0	2000
0	1750
0	2000
0	2000
0	1750
0	1750
-1	500
1	100000
0	1750
0	1750
0	1750
0	1750
0	2000
0	1750
0	1750
0	1750
0	2000
0	2000
-1	500
1	129250
0	1750
0	1750
0	1750
0	2000
0	2000
0	2000
0	2000
0	1750
0	2000
0	2000
-1	500
1	160000
0	1750
0	1750
0	1750
0	2000
0	2000
0	2000
0	2000
0	1750
0	2000
0	2000
-1	500
1	190750
0	1750
0	1750
0	1750
0	2000
0	2000
0	2000
0	2000
0	1750
0	2000
0	2250
-1	500
1	219500
0	1750
0	1750
0	1750
0	2000
0	2000
0	2000
0	2000
0	2250
0	2000
0	2250
-1	500
1	250000
0	1750
0	2000
0	1750
0	2000
0	2000
0	2000
0	2000
0	2250
0	2000
0	2250
-1	500
1	281250
0	1750
0	2000
0	1750
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2250
-1	500
1	313500
0	1750
0	2000
0	2000
0	2000
0	2000
0	2250
0	2250
0	2000
0	2000
0	2250
-1	500
1	344500
0	1750
0	2000
0	2000
0	2000
0	2500
0	2250
0	2250
0	2000
0	2250
0	2500
-1	500
