label	timestamp
1	4500
0	1500
0	1500
0	1700
0	1700
0	1700
0	1900
0	1700
0	1800
0	1800
0	1900
-1	500
1	38000
0	1800
0	1800
0	1800
0	1800
0	2300
0	1800
0	1800
0	1800
0	1800
0	1900
-1	500
1	69500
0	1800
0	1800
0	1800
0	1800
0	2000
0	1800
0	2000
0	2000
0	1800
0	1800
-1	500
1	100000
0	1800
0	1800
0	1800
0	1800
0	2000
0	1800
0	1800
0	1800
0	1900
0	1900
-1	500
1	129200
0	1800
0	1800
0	1800
0	2000
0	2000
0	2000
0	2000
0	1800
0	1900
0	1900
-1	500
1	160000
0	1800
0	1800
0	1800
0	2100
0	2000
0	2000
0	2000
0	1800
0	1900
0	1900
-1	500
1	190800
0	1800
0	1800
0	1800
0	2100
0	2000
0	2000
0	2000
0	1800
0	1900
0	2200
-1	500
1	219500
0	1800
0	1800
0	1800
0	2100
0	2000
0	2000
0	2000
0	2200
0	1900
0	2200
-1	500
1	250000
0	1800
0	2100
0	1800
0	2100
0	2000
0	2000
0	2000
0	2200
0	1900
0	2200
-1	500
1	281300
0	1800
0	2100
0	1800
0	2100
0	2000
0	2000
0	2000
0	2000
0	1900
0	2200
-1	500
1	313500
0	1700
0	2100
0	1900
0	2100
0	2000
0	2300
0	2300
0	2000
0	2000
0	2200
-1	500
1	344500
0	1700
0	2100
0	1900
0	2100
0	2500
0	2300
0	2300
0	2000
0	2300
0	2400
-1	500
